name,phone,address,website,latitude,longitude,source,phone_via
Real Estate Agency - Sohail Bakery,,"W2RR+R94, Block D North Nazimabad Town, North Nazimabad Block D, North Nazimabad, North Nazimabad Town, Sindh, 74700",,24.9420305,67.0410296,photon,
Real Estate Insvestment,,"Abdul Sattar Edhi Road, Clifton Block 4, Saddar Town, Sindh, 75600",,24.8033809,67.0309623,photon,
Real Estate Property Consultants Building,,"Street 002, Azam Basti, Jamshed Town, Sindh, 75500",,24.8473095,67.0739226,photon,
