name,phone,address,website,latitude,longitude,source,phone_via
Gym Unity,01827281700,"Oxford Street 4, Anglesey, Burton-on-Trent, England, DE14 3PG",https://www.gymunity.co.uk/,52.7994916,-1.6487486,photon,website
Gym Works,10710305,"East Terrace, Chorley Business Park, Euxton, Chorley, England, PR7 6TE",https://gym-works.co.uk/,53.6726681,-2.6657375,photon,website
Gym,,"Bogs Lane, Starbeck, Harrogate, England, HG1 4EB",,54.0057844,-1.5056034,photon,
Gym & Juice,,"Oldham Street 64, Northern Quarter, City Centre, Manchester, England, M4 1LE",,53.4836744,-2.2339097,photon,
Gym 28,,"East Lancashire Road, Higher Green, Wigan, England, M29 7JY",,53.5041979,-2.4334522,photon,
Gym Beasts,,"Commercial Road 1-3, Highbury Vale, Nottingham, England, NG6 8HD",,53.0012036,-1.1974135,photon,
Gym21 Chorlton,,"Albany Trading Estate, Chorlton-cum-Hardy, Manchester, England, M21 0BH",,53.4442838,-2.2751901,photon,
Gymetc,,"Alexandria Way, Congleton Business Park, Hulme Walfield, Congleton, England, CW12 1LB",https://gymetc.co.uk/congleton,53.1716567,-2.2226633,photon,
GymWorks,,"The Concourse Shopping Centre 102-104, Town Centre, West Lancashire, England, WN8 6LD",,53.5502271,-2.7735297,photon,
