name,phone,address,website,latitude,longitude,source,phone_via
Real Estate,,"7th Avenue 131, Park Slope, Brooklyn, New York, 11215",,40.6729303,-73.9762631,photon,
Real Estate,,"West 136th Street 201, Harlem, Manhattan, New York, 10030",,40.8161957,-73.9434788,photon,
Real Estate Acquisitions Co.,,"Ely Crescent 115, Town Center, Foxmoor, Robbinsville Township, New Jersey, 08691",https://www.realestateacquisitions.co/,40.2261129,-74.6308962,photon,
Real Estate in Wayne,,"Valley Road 1410, Wayne, New Jersey, 07470",,40.9578107,-74.2252074,photon,
Real Estate United,,"Dolsontown Road 1197, Middletown, New York, 10940",,41.4240786,-74.4108141,photon,
Real Estatement NY,,"Tompkins Avenue 373, Bedford-Stuyvesant, Brooklyn, New York, 11216",,40.6848998,-73.9440832,photon,
